시군구,단지명,계약연월,전용면적(㎡),매매대금(만원) 평균,전세(만원) 평균,면적당 매매대금평균,면적당 전세평균,전세가율-100%,lat,lng,전세가율-90%,전세가율-80%,전세가율-70%,전세가율-60%
강원특별자치도 강릉시 교동-1780,부영3차,2020-04-01,84.93,19775.0,18500.0,232.8388084,217.8264453,93.55246523,37.7603756,128.8747168,84.197218707,74.841972184,65.486725661,56.131479137999996
강원특별자치도 강릉시 교동-1780,부영3차,2020-07-01,84.93,19600.0,17500.0,230.778288,206.0520429,89.28571429,37.7603756,128.8747168,80.357142861,71.428571432,62.500000003,53.571428574
강원특별자치도 강릉시 교동-1780,부영3차,2021-04-01,84.93,27300.0,24000.0,321.4411869,282.5856588,87.91208791,37.7603756,128.8747168,79.120879119,70.329670328,61.538461536999996,52.747252745999994
강원특별자치도 강릉시 교동-1780,부영3차,2021-06-01,84.93,26975.0,23450.0,317.6145061,276.1097374,86.93234476,37.7603756,128.8747168,78.239110284,69.545875808,60.852641332,52.159406856000004
강원특별자치도 강릉시 교동-1780,부영3차,2021-07-01,84.93,28266.66667,23333.33333,332.8231092,274.7360571,82.54716981,37.7603756,128.8747168,74.292452829,66.037735848,57.783018866999996,49.528301886
강원특별자치도 강릉시 교동-1780,부영3차,2021-10-01,84.93,28000.0,22500.0,329.6832686,264.9240551,80.35714286,37.7603756,128.8747168,72.321428574,64.285714288,56.25000000199999,48.214285716
강원특별자치도 강릉시 교동-1780,부영3차,2022-05-01,84.93,35050.0,24925.0,412.6928058,293.476981,71.11269615,37.7603756,128.8747168,64.00142653500001,56.89015692000001,49.778887305,42.66761769
강원특별자치도 강릉시 교동-1780,부영3차,2022-10-01,84.93,28500.0,26000.0,335.5704698,306.1344637,91.22807018,37.7603756,128.8747168,82.105263162,72.98245614400001,63.859649126,54.736842108
강원특별자치도 강릉시 교동-1780,부영3차,2022-11-01,84.93,32000.0,29000.0,376.7808784,341.457671,90.625,37.7603756,128.8747168,81.5625,72.5,63.43749999999999,54.375
강원특별자치도 강릉시 교동-1780,부영3차,2022-12-01,84.93,28000.0,26000.0,329.6832686,306.1344637,92.85714286,37.7603756,128.8747168,83.571428574,74.285714288,65.000000002,55.714285716
강원특별자치도 강릉시 교동-1780,부영3차,2023-07-01,84.93,30000.0,22000.0,353.2320735,259.0368539,73.33333333,37.7603756,128.8747168,65.999999997,58.666666664000005,51.333333331,43.999999998
강원특별자치도 강릉시 교동-1982,강릉교동롯데캐슬1단지,2020-12-01,163.9852,47500.0,40000.0,289.6602864,243.9244517,84.21052632,37.766111,128.8882972,75.789473688,67.368421056,58.947368424,50.526315792
강원특별자치도 강릉시 교동-1982,강릉교동롯데캐슬1단지,2022-08-01,135.1727,58000.0,50000.0,429.0807241,369.897176,86.20689655,37.766111,128.8882972,77.586206895,68.96551724,60.34482758499999,51.72413793
강원특별자치도 강릉시 교동-1983,강릉교동롯데캐슬2단지,2021-12-01,135.1008,61700.0,50000.0,456.6960373,370.0940335,81.03727715,37.7671099,128.8900793,72.933549435,64.82982172,56.72609400499999,48.622366289999995
강원특별자치도 강릉시 교동-1984,강릉교동풍림아이원아파트,2019-11-01,84.9964,28700.0,26500.0,337.6613598,311.7779106,92.33449477,37.7611837,128.8898179,83.10104529300001,73.867595816,64.634146339,55.400696862000004
강원특별자치도 강릉시 교동-1984,강릉교동풍림아이원아파트,2021-09-01,84.9964,39500.0,35500.0,464.7255648,417.6647482,89.87341772,37.7611837,128.8898179,80.88607594800001,71.898734176,62.911392404,53.924050632000004
강원특별자치도 강릉시 교동-1984,강릉교동풍림아이원아파트,2022-02-01,84.9964,43500.0,40000.0,511.7863815,470.6081669,91.95402299,37.7611837,128.8898179,82.758620691,73.563218392,64.367816093,55.172413794
강원특별자치도 강릉시 교동-348,서일2,2019-10-01,27.75,4600.0,3000.0,165.7657658,108.1081081,65.2173913,37.7713227,128.8973812,58.69565217,52.17391304,45.65217391,39.13043478
강원특별자치도 강릉시 교동-46,한신,2021-06-01,59.84,14366.66667,13300.0,240.0846702,222.2593583,92.57540603,37.7678028,128.9001919,83.317865427,74.060324824,64.802784221,55.54524361799999
강원특별자치도 강릉시 교동-834,덕진,2021-06-01,40.86,5400.0,5000.0,132.1585903,122.3690651,92.59259259,37.7630282,128.8878309,83.33333333099999,74.074074072,64.814814813,55.555555553999994
강원특별자치도 강릉시 남문동-0183,삼익그린맨션,2020-05-01,84.08,12000.0,12000.0,142.7212179,142.7212179,100.0,37.7492233,128.8849461,90.0,80.0,70.0,60.0
강원특별자치도 강릉시 내곡동-0623,내곡주공,2020-07-01,39.3,6700.0,6100.0,170.4834606,155.216285,91.04477612,37.7412276,128.8790108,81.940298508,72.835820896,63.73134328399999,54.626865671999994
강원특별자치도 강릉시 내곡동-0623,내곡주공,2020-09-01,39.69,6950.0,6000.0,175.1070799,151.1715797,86.33093525,37.7412276,128.8790108,77.697841725,69.0647482,60.43165467499999,51.79856115
강원특별자치도 강릉시 내곡동-476,내곡한라,2021-06-01,59.97,14450.0,12000.0,240.9538102,200.10005,83.0449827,37.7442295,128.8809534,74.74048443000001,66.43598616000001,58.13148789,49.82698962
강원특별자치도 강릉시 내곡동-623,내곡주공,2020-08-01,39.3,6900.0,5400.0,175.5725191,137.4045802,78.26086957,37.7412276,128.8790108,70.434782613,62.608695656,54.782608698999994,46.956521742
강원특별자치도 강릉시 노암동-366,영진노암2차,2019-10-01,49.525,5700.0,4000.0,115.0933872,80.76728925,70.1754386,37.7445363,128.8986836,63.15789474000001,56.14035088000001,49.12280702,42.10526316
강원특별자치도 강릉시 노암동-390,노암한라,2019-11-01,84.99,13500.0,11000.0,158.8422167,129.4269914,81.48148148,37.7447455,128.9018991,73.333333332,65.185185184,57.037037035999994,48.888888888
